,mpg01
134,0
145,0
63,1
293,1
285,1
224,0
252,1
111,1
20,0
46,0
156,1
228,1
273,1
27,0
144,0
259,1
37,1
97,1
191,1
135,0
118,0
160,0
264,1
214,1
238,1
76,0
212,0
225,1
255,1
237,1
282,1
44,0
272,1
189,1
152,0
158,0
101,0
54,0
181,1
18,0
281,1
250,1
126,0
171,0
71,0
227,1
245,1
205,1
288,1
215,0
154,0
159,0
33,0
83,0
249,1
60,0
167,1
280,1
110,1
21,0
29,0
146,1
16,1
56,0
75,0
109,1
175,0
201,0
161,0
4,0
96,0
166,1
61,1
67,0
137,1
198,0
262,1
279,0
40,1
268,1
13,1
107,1
220,0
3,0
157,1
125,0
24,1
30,0
77,0
291,1
210,0
19,0
254,1
241,1
266,1
80,1
51,0
2,0
235,1
104,0
179,1
86,0
10,0
199,0
58,0
41,1
14,1
155,1
50,0
292,1
233,1
123,0
200,0
62,0
187,1
226,1
130,1
209,0
260,0
43,1
114,1
138,1
294,1
218,0
149,1
112,1
247,1
98,1
217,0
93,0
216,0
162,0
36,1
178,0
113,1
0,0
94,1
275,1
95,0
296,1
261,1
240,1
69,0
49,0
48,0
85,0
297,1
141,0
207,1
23,1
246,1
148,1
143,0
78,0
180,1
100,1
204,1
131,1
267,1
298,1
196,0
6,0
68,0
203,1
84,0
170,0
121,0
140,1
256,1
274,1
142,0
257,1
91,1
82,0
283,1
11,1
119,0
102,0
35,0
57,0
169,1
231,1
65,1
1,0
120,0
269,1
186,0
42,1
105,0
132,1
79,0
17,1
263,1
232,1
38,1
133,0
53,0
258,1
128,0
28,0
183,1
163,0
151,0
244,1
202,1
31,0
32,0
127,1
185,1
278,1
271,1
147,0
276,1
177,0
99,1
197,0
243,1
115,0
265,1
72,0
25,1
165,1
287,1
174,0
289,1
39,1
193,0
88,1
70,0
87,0
242,1
277,0
211,0
9,0
195,0
251,1
192,0
117,0
47,0
172,0
